Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,List Price,Listing Gain,CMP(BSE),CMP(NSE),Current Gains
2024-08-28,Orient Technologies Limited,214.76,189.9,300.6,66.87,151.71,206,290.0,40.78,319.05,317.4,54.88
2024-08-26,Interarch Building Products Limited,600.29,205.41,128.42,19.11,93.53,900,1291.2,43.47,2217.0,2183.0,146.33
2024-08-20,Saraswati Saree Depot Limited,160.01,64.12,358.65,61.88,107.52,160,200.0,25.0,91.81,91.26,-42.62
2024-08-13,Brainbees Solutions Limited,4193.73,19.3,4.68,2.31,12.22,465,625.0,34.41,373.65,373.85,-19.65
2024-08-13,Unicommerce eSolutions Limited,276.57,138.75,252.48,131.15,168.39,108,230.0,112.96,124.35,123.1,15.14
2024-08-09,Ola Electric Mobility Limited,6145.56,5.31,2.4,3.92,4.27,76,75.99,-0.01,39.99,39.9,-47.38
2024-08-08,Ceigall India Limited,1252.66,31.5,14.42,3.77,13.78,401,413.0,2.99,247.25,247.52,-38.34
2024-08-06,Akums Drugs and Pharmaceuticals Limited,1856.74,90.09,42.21,21.3,63.56,679,725.0,6.77,473.0,474.3,-30.34
2024-07-26,Sanstar Limited,510.55,145.68,136.5,24.23,82.99,95,106.4,12.0,85.87,85.39,-9.61
2024-07-10,Emcure Pharmaceuticals Limited,1952.03,195.83,48.32,7.21,67.87,1008,1325.05,31.45,1390.5,1395.0,37.95
2024-07-10,Bansal Wire Industries Limited,745.0,146.05,51.46,13.64,59.57,256,352.05,37.52,366.15,365.05,43.03
2024-07-03,Vraj Iron & Steel Limited,171.0,163.9,208.81,54.93,119.04,207,240.0,15.94,162.0,161.43,-21.74
2024-07-02,Allied Blenders and Distillers Limited,1500.0,50.37,32.4,4.51,23.55,281,318.1,13.2,494.75,493.0,76.07
2024-06-28,Stanley Lifestyles Limited,537.02,0.74,8.86,6.11,5.22,369,499.0,35.23,316.75,318.15,-14.16
2024-04-25,Vodafone Idea Ltd ,18000.0,17.56,4.13,0.92,6.36,11,12.0,9.09,6.6,6.53,-40.0
2024-04-12,Bharti Hexacom Ltd ,4275.0,48.57,10.52,2.83,29.88,570,755.2,32.49,1742.9,1740.1,205.77
2024-04-03,SRM Contractors Ltd ,130.2,59.59,214.94,46.97,86.57,210,225.0,7.14,476.55,474.0,126.93
2024-03-21,Krystal Integrated Services Ltd ,300.12,7.33,43.91,3.32,13.21,715,795.0,11.19,625.8,611.0,-12.48
2024-03-19,Popular Vehicles & Services Ltd ,601.55,1.97,0.66,1.05,1.23,295,292.0,-1.02,120.0,119.5,-59.32
2024-03-14,Gopal Snacks Ltd,650.0,17.5,9.5,4.01,9.02,401,350.0,-12.72,371.25,371.95,-7.42
2024-03-13,J.G.Chemicals Ltd ,251.19,32.09,46.33,17.44,27.78,221,211.0,-4.52,482.25,484.4,118.21
2024-03-12,R K Swamy Ltd ,423.56,20.58,34.36,34.03,25.94,288,252.0,-12.5,155.8,155.28,-45.9
2024-03-07,Mukka Proteins Ltd ,224.0,189.28,250.38,58.52,136.99,28,44.0,57.14,27.61,27.69,-1.39
2024-03-12,Indus Infra Trust ,2499.99,8.92,6.93,0.0,8.01,100,101.0,1.0,111.53,111.3,11.53
2024-03-05,Exicom Tele-Systems Ltd ,429.0,121.8,153.22,119.59,129.54,142,264.0,85.92,139.05,138.81,-2.08
2024-03-05,Platinum Industries Ltd ,235.32,151.0,141.83,50.99,99.03,171,228.0,33.33,276.6,278.0,61.75
2024-02-29,GPT Healthcare Ltd ,525.14,17.3,11.02,2.44,8.52,186,216.15,16.21,155.0,156.0,-16.67
2024-02-28,Juniper Hotels Ltd ,1800.0,0.0,0.06,0.52,0.11,360,361.2,0.33,291.85,292.2,-18.93
2024-02-20,Vibhor Steel Tubes Limited,72.17,178.73,721.34,188.17,298.86,151,421.0,178.81,158.2,155.6,4.77
2024-02-16,Entero Healthcare Solutions Limited,1600.0,2.28,0.22,1.33,1.53,1258,1245.0,-1.03,1205.2,1196.4,-4.2
2024-02-14,Jana Small Finance Bank Limited,570.0,38.75,25.05,5.46,18.5,414,396.0,-4.35,461.0,459.35,11.35
